u1,u2,u3,u4,u5,u6,u7
65.08,64.46,56.38,48.68,36.04,51.06,29.56
61.98,74.56,60.46,59.6,35.4,43.7,25.6
50.9,72.1,67.46,63.46,31.58,45.82,9.9
60.34,75.32,49.12,59.54,41.7,39.8,8.62
56.6,65.28,63.08,54.56,40.3,44.38,17.84
59.92,55.34,66.4,57.38,26.2,28.8,10.7
57.2,54.42,62.36,55.92,38.58,36.46,-0.32
67.96,53.8,44.36,53.58,40.32,37.22,8.9
65.2,59.34,59.02,49,38.32,45.36,4.6
53.4,55.3,49.46,39.66,40.14,43.78,4.92
55.2,55.32,59.6,43.32,44.38,50.84,5.28
41.76,66.18,64.06,41.74,37.5,49.38,11.78
45.16,64.14,78.54,37.02,41.26,45.7,14.64
38.84,64,55.94,38.28,31.08,36.34,16.22
47,61.98,64.52,31.3,39.04,41.58,15.48
52.16,65.46,68.24,30.28,40.52,43.7,14.52
46.34,53.68,70.52,32.68,42.16,40.96,14.76
53.6,56.52,64.2,38.78,38.22,43.76,26.68
48.98,56.58,72.16,31.8,37,44.62,23.68
54.24,67.68,70.08,31.98,45.86,35.4,31.1
47.94,71.88,66.4,22.36,39.22,41.4,25.6
43.48,62.84,68.62,35.14,32.02,47,1.82
57.3,53.86,69.72,37.82,27.88,41.98,30.96
67.9,52.92,72.92,51.02,27.9,49.88,18.9
57.66,51.72,71.16,65.04,32.28,44.76,41.48
61.16,58.08,77.04,41.02,35.8,35.2,19.14
57.8,61.48,62.8,36.78,40.44,36.84,26.12
58.72,57.3,68.02,30.76,37.42,38.68,28.04
62.92,59.58,75.16,30.62,48.18,40.66,32.48
63.84,53.54,77.34,24.02,43.68,36.16,53.46
58.88,57.14,70.74,27.16,46.58,48.94,31
56.42,61.74,72.92,35.2,46.96,41.7,32.62
60.98,57.4,59.78,38.12,45.56,48.04,46.2
62.14,55.6,59.04,40.82,51.74,40.96,37.34
66.64,59.82,60.2,29.36,52.16,31.26,41.12
56.94,52.48,62.52,38.16,51.18,33.42,33.42
60.58,62.6,62.22,53.06,33.12,25.74,31.62
58.52,62.06,65.02,32.04,39.18,30.32,30.2
57.42,57.76,59.28,29.06,44.76,50.3,51.02
54.54,60.6,58.04,37.84,39.44,52.56,25.96
53.24,64.86,59.76,45,51.5,54.22,48.68
58.1,65.32,54.68,41.62,60.9,48.56,31.28
48.64,62.34,58.98,42.64,53.36,47.92,30.04
43.92,65.14,59.72,43.58,66.08,45.32,20.18
45,62.76,75.46,55.34,57.52,51.46,21.78
49.02,63.52,77.46,55.78,65.44,51.7,17.68
53.98,63.58,82.26,59.8,62.7,44.52,33.66
51.92,59.68,78.62,61.86,55.84,50,7.02
46.3,67.42,78.36,50,48.74,54.68,14.1
55.48,61.66,71.32,54.4,51.34,48.58,18.58
52.86,56.26,73.64,50.62,59.34,50.7,17.52
53.88,61.92,68.8,52.4,59.02,51.74,24.68
64.96,56.74,63.72,54.42,51.84,61.72,12.52
61.64,61.88,68.56,49.9,46.34,65.52,20.22
51.66,55.5,70.38,49.88,54.58,57.78,17.8
49.18,54.36,73.02,52.32,51.82,49.62,15.88
47.58,54.44,59.92,52.92,46.34,54.7,20.24
51.36,58.92,62.54,52.26,52.76,58.72,23.34
45.82,55.5,70.38,55.48,52.46,62.6,24.62
42.08,60.82,65.86,54.5,49.64,56.64,23.54
64.9,65.88,74.44,49.06,47.58,50.94,17.62
63.3,63.5,66.18,49.12,50.64,53.12,46.7
60.56,59.92,63.34,44.28,47.2,52.46,24.02
77.62,63,66.04,43.48,45.68,53.36,22.78
73.12,51.16,59.44,42.26,50.22,51.16,39.18
74.82,54.1,60.88,44.02,47.64,36.96,41.12
75.66,55.98,51.14,39.94,40.5,22.96,27.86
59.9,56.02,51.6,38.9,42.54,22.86,29.42
77.74,64.02,62.7,41.24,29.2,20.44,26.94
70.7,64.74,58.26,34.28,37.66,29.08,34.2
67.8,56.62,54.98,29.28,33.5,34.06,36.24
69.2,61.84,60.98,40.34,30.74,29.66,34.46
81.58,62.92,63,38.78,33.98,29.2,22.32
83.16,63.02,56.68,47.04,34.74,24.44,25.82
69.62,60.7,62.9,44,35.28,33.58,24.98
81.42,53.66,72.86,53.6,30.7,33.74,20.64
82.76,61.96,55.3,49.32,29.8,41.18,29.36
82.08,71.1,47.5,48.66,33.92,36.9,26.06
89.44,73.82,54.04,44.46,36.36,26.06,27.2
80.44,80.32,57.54,42.2,36.24,28.24,28.62
83.22,80.3,62.24,40.6,38.18,31.76,30.76
80.06,79.3,59.14,32.18,39.6,38.78,18.3
78.5,77.36,64.28,31.66,52.92,33.48,21.28
72.18,75.68,55.62,37.08,61.04,29.12,28.48
80.18,68.4,58.24,41.02,54.46,34.72,20.2
92.78,60.4,52.2,38.9,57.36,40.8,20.84
82.04,63.82,59.54,41.9,58.46,38.16,21.32
82.26,72.58,68.16,42.08,54.36,34.96,42.86
69.42,55.3,67.16,45,57.66,41.58,39.58
65.74,52.32,60.84,37.72,55.48,47.36,31.54
69.9,65.28,62.92,48.56,52.46,46.34,30.6
67.28,68.1,63.68,38.28,49.3,45.82,23.44
55.14,63.1,59.34,39.56,51.56,42.52,27.86
54.3,57.98,65.78,30.16,53.68,43.14,33.98
64.38,64.92,60.48,34.04,60.12,38.22,10.86
58.66,57.8,64.26,32.22,61.16,36.78,39.5
60.16,62.36,68.68,37.2,55.88,37.48,32.94
59.8,61.28,72.44,39,61.56,51,43.2
47.82,54.42,77.74,29.58,55.78,46.54,43.34
62.02,55.44,79.74,26.24,51.38,38.6,47.72
65.38,54.1,78.1,18.8,49.86,40.54,56.34
71.44,56.12,84.94,26.5,44.46,24.2,40.94
70.54,67.22,80.04,36.38,48.66,34.64,42.72
71.76,52.18,71.76,38.68,49.2,37.76,43.7
73.62,57.46,74.04,39.26,43.52,34.38,39.08
56.54,56.86,79.74,47.3,41.36,33.42,39.88
67.68,52.7,68.3,37.08,45.36,34.56,47.38
70.62,52.96,67.2,33.34,41.68,26.72,45.62
67.7,54.86,67.3,39.72,41.32,26.56,36.1
69.96,54.82,65.7,34.5,38.42,23.08,29.02
77.28,48.62,66.54,32.56,29.78,28.64,12.78
60.6,50.88,68.26,31.34,33.68,27.22,30.02
64.16,45.52,64.4,26.68,40.46,21.74,20.02
56.54,51.68,56.46,31.86,38.08,25.74,14.62
54.9,43.58,53.54,40.56,36.46,26.28,28.74
59.84,48,55.8,49.58,40.9,27.08,35.98
54.92,49.92,46.02,55.64,44.3,22.06,15.82
51.42,46.14,43.68,59.28,46.18,19.52,12.26
55.92,51.12,53.48,50.26,45.62,22.42,24.24
60.28,54.36,50.4,51.06,55.92,19.14,30.3
56.8,47.52,60.16,46.3,49.88,16.06,27.8
57.94,52.74,60.22,53.42,38.72,21.24,27.74
58.88,56.06,65.68,50.88,42,16.2,27.44
56.68,54.48,56.84,64.66,35.4,19.38,40.08
54.46,55.98,50.18,57.42,40.96,18.8,35.72
49.22,48.26,52.16,54.4,40.46,15.08,32.64
55.6,51.8,50.86,49.24,42.7,16.26,36.9
52.24,65.44,51.8,58.64,42.96,22.86,32.92
52.78,53.24,48.74,65.2,34.78,25.92,29.62
53.56,57.54,50.18,68.26,42.92,21.84,26.72
56.38,60.1,56.36,65.42,37.04,22.28,37.02
63.44,63.58,63.08,68.74,47.64,25.26,29.76
71.2,59.8,60.78,66.76,49.48,24.9,27.28
71.98,61.46,58.02,74.16,42.38,32.44,26.98
68.56,55.6,60.98,66.8,48.06,35.52,15.24
63.14,62.08,60.98,67.26,42.96,36.12,30.98
64.72,57.78,62.54,66.26,44.14,38.18,14.64
63.74,47.32,55.38,63.32,45.7,30.66,39.92
58.94,54.68,61.3,63.5,39.14,39.66,43.92
65.92,46.06,58.52,66.08,38.82,43.32,43.94
68.56,50.62,57.16,80.22,45.88,40.84,41.72
65.14,36.7,60.88,76.76,36.9,25.54,35.92
62.1,57.04,67.34,70.3,40.44,35.54,17.7
57.56,63.5,57.84,61.08,25.16,25.68,35.4
59.48,56.46,70.5,59.04,25.22,25.54,34.38
55.66,60.58,67.14,70.22,34.32,32.82,28.42
57.9,57.88,65.88,61.3,40.34,31.34,41.94
58.76,55,82.24,63.94,43.98,26.68,37.42
63.66,52.2,74.18,60.62,42.58,30.04,22.44
48.78,56.24,81.4,59.7,49.88,25.46,37.54
59.06,57.06,74.26,78.06,46.96,26.6,46.84
73.3,53.24,67.34,76.6,51,26.78,31.88
62.6,58.78,66.94,80.36,42.74,37.16,37.1
77.96,60.82,76.3,68.34,42.28,46.78,35.76
83.08,54.3,63.74,74.32,40.94,44.72,30.12
72.26,48.74,55.52,75.86,45.6,37.76,62.78
69.48,45.82,59.28,67.02,47.26,22.42,23.28
62.7,46.22,59.72,67.96,43.52,27.5,24.04
62.2,42.48,58.04,66.28,48.38,30.46,12.92
66.68,50.18,55.48,68.1,50.6,35,16.14
72.54,52.72,63.18,68.08,52.8,42.76,28.78
69.7,59.28,66.28,56.58,47.54,41.6,30.58
60.48,54.24,62.24,55.14,53.78,44.08,32.36
66.14,50.4,60.14,59.98,44.44,42.14,32.9
65.64,50.82,64.94,53.24,45.64,51.22,26.82
63.12,52.12,59.04,51.64,46.14,41.74,16.64
65.92,60.18,56.18,53.28,51.54,35.68,3.64
62.08,71.88,54.92,52.74,49.38,27.86,20.96
54.58,48.64,55.04,54.92,45.26,30.86,15.74
61.78,58,63.02,58.24,47.24,26.5,15.78
55.76,54.04,65.14,52.6,46.98,27.92,14.08
58.08,59.82,63.1,55.24,39.74,25.18,20.92
48.6,56.86,66.34,56.64,37.78,24.98,25.72
56.6,52.06,53.3,56.2,43.52,22.76,22.68
54.9,59,62.28,50.18,41.2,24.5,17.44
57.4,64.66,57.28,51.66,41.6,21.18,19.96
47.06,61.14,61.16,50.94,42.08,21.76,16.08
52.42,51.46,62.3,52.66,39.22,25.88,16.26
62.34,38.7,60.72,52.92,33.34,17.84,24.64
52.14,42.94,61.34,52.68,38.58,28.24,57.98
52.84,46.82,65.14,57.96,30.1,22.9,4.44
54.86,55.96,67.76,55.3,36.22,21,5.12
50.08,51.4,69.64,59.22,35.34,10.3,18.5
48.16,55.42,63.26,62.1,27.98,13.64,9.92
52.28,57.04,59.48,53.26,25.56,33.08,7.66
50.12,59.38,63.44,52.24,36.12,21.66,-10.72
56.82,52.3,62.04,49.5,38.14,31.22,4.88
45.98,55.74,64.46,45.94,34.66,28.26,2.42
41.96,53.36,57.86,44.94,39.08,14.82,2.28
47.36,54.42,56.3,47,42.46,17.22,11
48.5,64.52,55.4,43.58,42.2,20.96,10.66
53.8,60.48,53.26,39.84,42.96,20.44,3.66
60.54,62.6,55.82,47.54,30.66,15.2,10.18
56.18,49.44,59.92,46.5,39.64,26.64,22.18
60.98,63.64,58.1,51.96,43.88,31.44,19.16
52.8,59.06,52.52,59.3,48.44,27.2,24.94
59.84,54.66,51.84,56.78,52.14,31.98,22.18
56.28,56.42,53.08,61.62,37.52,38.08,12.92
60.92,50,53.84,66.02,44.68,35.34,11.64
55.1,56.34,51.5,69.84,37.6,35.8,16.32
53.82,51.04,35.44,65.68,44.26,40.76,14.56
58,46.32,49.42,59.38,45.92,28.64,14.8
60.72,56.3,54.8,57.72,53.94,28.02,15.1
67.68,50.06,51.44,62.3,56.74,24.94,22.72
71.4,59.6,52.06,64.36,50.88,24.2,40.86
66.02,57.32,40.26,59.96,62.16,45.14,23.64
63.66,54.86,43.44,59.8,52.8,28.92,16.86
57.28,56.74,54.06,66.96,48.32,21.76,13.08
59.16,71.3,52.36,61.14,50,21.88,21.34
68.56,65.26,49.48,55.4,42.58,20.7,26.88
47.16,64.8,46.5,57.4,49.92,20.32,21.2
38.58,61.48,51.86,59,45.06,31.22,16.62
35.1,57.84,51.1,57.2,42.92,31.18,24.3
33.46,62.34,45.06,54.4,36.7,31.86,24.68
46.7,59.28,47.68,52.16,35.92,24.82,17.58
52.24,59.18,40.76,54.62,39.14,19.14,20.46
52.28,53.42,57.42,56.84,36.92,19.64,7.1
51.38,58.46,55.7,49,40.58,12.46,3.32
61.02,55.52,52.66,62.22,44.18,28.86,-2.1
54.68,53.74,47.46,53,48.18,18.08,4.06
59.48,56.84,48.42,52.18,32.16,33,10.96
64.84,63.46,47.54,48.44,45,35.14,14.54
60.88,45.78,47.56,42.74,35.54,30.72,19.68
60.8,48.72,48.04,53.98,36.84,32.88,25.78
59.44,52.5,52,45,42.32,38.12,24.14
53.68,45.9,39.02,41.58,31.68,39.74,33.9
68.14,44.76,40.06,43.96,44.82,42.28,56.52
66.28,48.06,43.08,43.7,35.34,41.58,41.54
71.82,48.32,40.34,35.28,32.04,36.26,28.7
71.48,41.92,40.64,32.98,33.16,32.72,20.5
65.82,44.32,49.66,32.5,38.96,41.64,24.76
70.14,48.88,47.94,43.58,40.4,33.98,22.44
70.38,44.6,61.94,42.46,37.58,32.38,28.36
69.56,54.3,48.9,51.54,36.7,15.94,35.12
73.68,44.58,51.52,55.3,40.44,17.68,43.12
69.36,46.74,49.66,64.74,40.26,33.16,44.42
67.76,47.2,51.62,56.42,34.44,41.74,40.32
67.26,42.6,54.36,44.4,35.88,39.8,60.32
58.76,45,64.28,57.56,30.3,43.52,33.54
55.38,48,53.42,57.6,37.38,44.08,45.46
52.96,45.12,51.64,69.1,32.78,45.1,54.26
52.18,45.38,48.88,77.42,47.54,42.12,47.26
51.04,43.84,47.56,67.98,36.68,41.02,50.56
58.7,40.92,50.84,74.68,47.68,43.64,68.46
52.78,47.86,46.76,71,47.02,45.3,45.8
56.04,52.5,54.42,66.3,43.26,43.66,61.56
54.86,46.34,46.74,59.78,39.92,47.38,55.1
70.94,63.48,51.12,50.56,34.54,53.54,43.94
44.96,69.58,55.22,51.68,38.84,51.12,47.04
57.98,62.06,49.22,61.72,45.12,45.94,38.36
50.08,60.1,52.28,55.1,39.02,46.74,41.84
47.68,62.12,52.46,59.14,38.68,41.88,40.26
48.62,64.7,58.64,57.62,36.62,37.94,42.6
45.68,61.14,61.64,55.1,37.24,42.88,28.34
41.76,63.96,69.08,57.1,34.34,44.12,9.64
47.2,57.88,64.12,54.92,35.38,38.78,-3.8
56.54,55.24,65.24,55.18,48.7,43.32,-5.4
56.98,62.34,55.24,45.68,45.8,40.16,26.62
57.28,55.18,46.6,52.24,45.08,44.82,45.82
49.18,64.68,53.8,50.7,46.7,42.94,36.52
53.14,66.14,51.12,48.72,43.72,38.02,23.44
50.44,58.54,44.6,52,51.52,40.54,25.18
44.44,63.42,50.72,56.24,47.34,34.28,6.58
57.8,58.42,46.2,44.84,50.38,31.48,21.92
65.34,53.3,45.08,51.86,42.3,35.24,3.48
57.16,60.14,46.44,54.98,47,34.34,21.76
67.02,60.76,50.06,64.46,46.28,38.62,12.52
44.52,54.16,50.14,60.08,37.14,35.86,16.7
51.06,53.28,50,57.22,38.4,27.8,25.28
64.88,56.42,54.28,55.44,24.16,34.6,27.2
68.28,55.32,52.2,58.3,39.18,36.28,28.3
72.3,43.34,49.7,47.64,32.28,24.74,17.68
65.58,38.66,50.5,56.42,36.58,30.7,10.22
66.52,37.34,56.04,66.88,38.9,32.66,18.48
64.74,32.74,57.92,67.96,50.06,28.16,24.72
68.6,33.1,53.42,69.14,50.38,29.54,16.74
75.72,39.14,44.2,61.42,37.8,25.96,31.1
70.56,50,42.34,66.18,40.92,24.66,36.1
70.94,53.16,46.26,60.98,29.38,32.72,26.56
70.7,56.6,42.98,57.72,42.48,21.64,22.84
74.62,62.72,47.28,55.36,55.42,26.34,30.74
77.7,59.84,46.38,62.22,57.8,22.66,41.42
75.18,70.06,48.32,60.32,55.28,30.54,43.72
64.26,63.1,45.72,53.74,54.04,37.78,31.22
72.94,77.24,51.52,51.24,59.54,39.96,36.96
